security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
238,AWHCL,INE01BK01022,ANTONY WASTE HANDLING CELL LIMITED,238,1,2021-01-01,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
239,AWL,INE699H01024,AWL AGRI BUSINESS LIMITED,239,1,2022-02-08,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
240,AXISBANK,INE238A01034,AXIS BANK LIMITED,240,1,1998-11-16,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
241,AXISCADES,INE555B01013,AXISCADES TECHNOLOGIES LIMITED,241,1,2000-12-21,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
242,AXITA,INE02EZ01022,AXITA COTTON LIMITED,242,1,2022-06-21,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
243,AYE,INE501X01029,AYE FINANCE LIMITED,243,1,2026-02-16,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
244,AYMSYNTEX,INE193B01039,AYM SYNTEX LIMITED,244,1,2015-08-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
245,AZAD,INE02IJ01035,AZAD ENGINEERING LIMITED,245,1,2023-12-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
246,BAFNAPH,INE878I01022,BAFNA PHARMACEUTICALS LIMITED,246,1,2020-02-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
247,BAGFILMS,INE116D01028,B.A.G FILMS AND MEDIA LIMITED,247,1,2003-10-17,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
248,BAIDFIN,INE020D01022,BAID FINSERV LIMITED,248,1,2023-01-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
249,BAJAJ-AUTO,INE917I01010,BAJAJ AUTO LIMITED,249,1,2008-05-26,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
250,BAJAJCON,INE933K01021,BAJAJ CONSUMER CARE LIMITED,250,1,2010-08-18,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
251,BAJAJELEC,INE193E01025,BAJAJ ELECTRICALS LIMITED,251,1,2007-11-02,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
252,BAJAJFINSV,INE918I01026,BAJAJ FINSERV LIMITED,252,1,2008-05-26,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
253,BAJAJHCARE,INE411U01027,BAJAJ HEALTHCARE LIMITED,253,1,2021-11-25,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
254,BAJAJHFL,INE377Y01014,BAJAJ HOUSING FINANCE LIMITED,254,1,2024-09-16,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
