issuer_id,issuer_name,sector,market_cap_category,country
357,BIRLANU LIMITED,,,India
358,BIRLA PRECISION TECHNOLOGIES LIMITED,,,India
359,BLACKBUCK LIMITED,,,India
360,BLACK ROSE INDUSTRIES LIMITED,,,India
361,BEML LAND ASSETS LIMITED,,,India
362,BLB LIMITED,,,India
363,BEHARI LAL ENGINEERING LIMITED,,,India
364,BALMER LAWRIE INVESTMENTS LIMITED,,,India
365,BLISS GVS PHARMA LIMITED,,,India
366,B. L. KASHYAP AND SONS LIMITED,,,India
367,BLS INTERNATIONAL SERVICES LIMITED,,,India
368,BLS E-SERVICES LIMITED,,,India
369,BLUE CHIP INDIA LIMITED,,,India
370,BLUE CLOUD SOFTECH SOLUTIONS LIMITED,,,India
371,BLUE COAST HOTELS LIMITED,,,India
372,BLUE DART EXPRESS LIMITED,,,India
373,BLUE JET HEALTHCARE LIMITED,,,India
374,BLUE STAR LIMITED,,,India
375,BLUESTONE JEWELLERY AND LIFESTYLE LIMITED,,,India
376,BLUSPRING ENTERPRISES LIMITED,,,India
377,BMW VENTURES LIMITED,,,India
378,BN AGROCHEM LIMITED,,,India
379,B AND A LIMITED,,,India
380,BODAL CHEMICALS LIMITED,,,India
381,BOHRA INDUSTRIES LIMITED,,,India
382,BOMBAY DYEING AND MANUFACTURING COMPANY LIMITED,,,India
383,BONLON INDUSTRIES LIMITED,,,India
384,BORANA WEAVES LIMITED,,,India
385,BOROSIL LIMITED,,,India
386,BOROSIL RENEWABLES LIMITED,,,India
387,BOROSIL SCIENTIFIC LIMITED,,,India
388,BOSCH HOME COMFORT INDIA LIMITED,,,India
389,BOSCH LIMITED,,,India
390,BHARAT PETROLEUM CORPORATION LIMITED,,,India
391,BPL LIMITED,,,India
392,BHARAT PARENTERALS LIMITED,,,India
393,BRAHMAPUTRA INFRASTRUCTURE LIMITED,,,India
394,BRIGADE ENTERPRISES LIMITED,,,India
395,BRIGADE HOTEL VENTURES LIMITED,,,India
396,BRIGHT BROTHERS LIMITED,,,India
397,BRITANNIA INDUSTRIES LIMITED,,,India
398,BHARAT ROAD NETWORK LIMITED,,,India
399,BROOKS LABORATORIES LIMITED,,,India
400,BSE LIMITED,,,India
401,BOMBAY SUPER HYBRID SEEDS LIMITED,,,India
402,BSL LIMITED,,,India
403,BIRLASOFT LIMITED,,,India
404,BODHI TREE MULTIMEDIA LIMITED,,,India
405,BHILWARA TECHNICAL TEXTILES LIMITED,,,India
406,SHANKARA BUILDPRO LIMITED,,,India
407,BURNPUR CEMENT LIMITED,,,India
408,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,,,India
409,BARAK VALLEY CEMENTS LIMITED,,,India
410,THE BYKE HOSPITALITY LIMITED,,,India
411,CALIFORNIA SOFTWARE COMPANY LIMITED,,,India
412,CAMLIN FINE SCIENCES LIMITED,,,India
413,CAMPUS ACTIVEWEAR LIMITED,,,India
414,COMPUTER AGE MANAGEMENT SERVICES LIMITED,,,India
415,CANARA BANK,,,India
416,CAN FIN HOMES LIMITED,,,India
417,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,,,India
418,CANTABIL RETAIL INDIA LIMITED,,,India
419,CAPACIT'E INFRAPROJECTS LIMITED,,,India
420,CAPILLARY TECHNOLOGIES INDIA LIMITED,,,India
421,CAPITAL SMALL FINANCE BANK LIMITED,,,India
422,CAPLIN POINT LABORATORIES LIMITED,,,India
423,CAPITAL TRUST LIMITED,,,India
424,CARBORUNDUM UNIVERSAL LIMITED,,,India
425,CARE RATINGS LIMITED,,,India
426,CARRARO INDIA LIMITED,,,India
427,CARTRADE TECH LIMITED,,,India
428,CARYSIL LIMITED,,,India
429,CASTROL INDIA LIMITED,,,India
430,AVENUESAI LIMITED,,,India
431,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,,,India
432,COUNTRY CLUB HOSPITALITY AND HOLIDAYS LIMITED,,,India
433,CCL PRODUCTS (INDIA) LIMITED,,,India
434,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,,,India
435,CEAT LIMITED,,,India
436,CEIGALL INDIA LIMITED,,,India
437,CEINSYS TECH LIMITED,,,India
438,CELEBRITY FASHIONS LIMITED,,,India
439,CELLO WORLD LIMITED,,,India
440,CEMINDIA PROJECTS LIMITED,,,India
441,CENTURY ENKA LIMITED,,,India
442,CENTURY EXTRUSIONS LIMITED,,,India
443,CENTRAL BANK OF INDIA,,,India
444,CENTRUM CAPITAL LIMITED,,,India
445,CENTUM ELECTRONICS LIMITED,,,India
446,CENTURY PLYBOARDS (INDIA) LIMITED,,,India
447,CERA SANITARYWARE LIMITED,,,India
448,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,,,India
449,CESC LIMITED,,,India
450,CONCORD ENVIRO SYSTEMS LIMITED,,,India
451,CONFIDENCE FUTURISTIC ENERGETECH LIMITED,,,India
452,CAPRI GLOBAL CAPITAL LIMITED,,,India
453,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,,,India
454,CG VAK SOFTWARE AND EXPORTS LIMITED,,,India
455,CHALET HOTELS LIMITED,,,India
456,CHAMBAL FERTILIZERS AND CHEMICALS LIMITED,,,India
