security_id,trading_date,open_price,high_price,low_price,close_price,volume,normalization_error,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
178.0,2026-09-02,225.0,230.0,221.35,230.0,248,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
179.0,2026-09-02,56.45,57.49,55.71,56.4,2698066,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
182.0,2026-09-02,85.5,88.5,85.5,87.87,1010679,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
183.0,2026-09-02,461.6,510.25,461.55,495.35,480377,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
185.0,2026-09-02,79.8,79.98,77.63,78.48,132223,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
184.0,2026-09-02,909.0,914.45,878.0,900.3,2447,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
186.0,2026-09-02,245.2,251.9,245.2,247.75,3340,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
187.0,2026-09-02,130.99,131.03,125.86,128.31,897946,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
188.0,2026-09-02,120.72,121.08,117.11,117.93,231541,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
189.0,2026-09-02,1945.0,1994.0,1927.0,1947.2,21151,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
190.0,2026-09-02,24.45,25.05,24.45,24.61,4239,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
191.0,2026-09-02,746.0,771.2,735.05,771.2,26675,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
192.0,2026-09-02,0.71,0.71,0.71,0.71,72444,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
195.0,2026-09-02,40.7,41.1,39.1,40.25,1607,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
69.0,2026-09-02,15.87,15.87,15.0,15.08,478365,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
194.0,2026-09-02,328.0,332.4,320.0,320.7,226615,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
196.0,2026-09-02,164.01,166.8,163.39,165.81,962,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
198.0,2026-09-02,454.0,463.0,448.4,461.15,203097,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
197.0,2026-09-02,552.95,578.0,548.2,574.05,790352,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
199.0,2026-09-02,650.2,656.0,638.75,642.4,79766,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
200.0,2026-09-02,635.0,640.0,620.0,639.95,229,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
201.0,2026-09-02,950.0,964.7,936.05,951.05,213328,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
202.0,2026-09-02,364.15,374.55,364.0,367.9,12724,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
205.0,2026-09-02,555.7,561.0,549.35,550.5,226693,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
206.0,2026-09-02,367.25,368.95,361.1,368.3,38619,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
207.0,2026-09-02,429.0,429.0,420.0,425.95,34573,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
208.0,2026-09-02,17.67,18.9,17.2,17.83,71620,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
211.0,2026-09-02,169.11,169.29,165.02,167.9,16412854,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
209.0,2026-09-02,119.71,120.0,116.49,117.39,2169165,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
210.0,2026-09-02,13.63,13.63,13.34,13.49,18438,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
212.0,2026-09-02,490.1,516.15,483.1,504.1,919172,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
215.0,2026-09-02,50.29,51.18,48.85,50.16,5231296,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
91.0,2026-09-02,138.8,143.0,138.51,142.01,1209,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
213.0,2026-09-02,369.2,386.0,360.1,379.9,26364,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
93.0,2026-09-02,511.05,535.0,511.0,535.0,330,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
214.0,2026-09-02,2548.0,2548.0,2510.7,2527.5,497889,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
221.0,2026-09-02,600.0,600.0,590.0,590.0,124,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
216.0,2026-09-02,10.17,10.17,9.75,9.83,3443,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
217.0,2026-09-02,638.05,638.05,618.05,623.85,134316,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
219.0,2026-09-02,260.05,264.95,256.3,259.85,1099,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
220.0,2026-09-02,828.0,828.0,763.0,819.0,3,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
204.0,2026-09-02,694.7,705.0,690.45,703.8,14509,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
222.0,2026-09-02,556.95,584.9,553.05,572.55,37649,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
223.0,2026-09-02,761.7,768.0,745.05,759.9,1275385,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
225.0,2026-09-02,1678.0,1678.0,1631.0,1641.8,220101,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
